	tissue_id	sex	group
GTEX-1117F-0226-SM-5GZZ7	Adipose_Subcutaneous	female	female_test
GTEX-1122O-2026-SM-9YFMG	Adipose_Subcutaneous	female	female_test
GTEX-1128S-2126-SM-5H12U	Adipose_Subcutaneous	female	female_test
GTEX-11DXX-2326-SM-9YFKS	Adipose_Subcutaneous	female	train
GTEX-11EM3-2326-SM-5H12B	Adipose_Subcutaneous	female	train
GTEX-11EMC-2826-SM-5PNY6	Adipose_Subcutaneous	female	train
GTEX-11I78-2626-SM-5Q5AI	Adipose_Subcutaneous	female	train
GTEX-11P81-2426-SM-5GU65	Adipose_Subcutaneous	female	train
GTEX-11TTK-0226-SM-5N9EC	Adipose_Subcutaneous	female	train
GTEX-11UD1-0226-SM-5EQKL	Adipose_Subcutaneous	female	train
GTEX-11XUK-2126-SM-5EQLR	Adipose_Subcutaneous	female	train
GTEX-11ZTS-0226-SM-5EQKD	Adipose_Subcutaneous	female	train
GTEX-11ZTT-2526-SM-5EQM9	Adipose_Subcutaneous	female	train
GTEX-11ZVC-2626-SM-5FQTA	Adipose_Subcutaneous	female	train
GTEX-1211K-2226-SM-5FQU6	Adipose_Subcutaneous	female	train
GTEX-1269C-2726-SM-5EGJ4	Adipose_Subcutaneous	female	train
GTEX-12WSD-0226-SM-59HKO	Adipose_Subcutaneous	female	train
GTEX-12ZZX-0226-SM-5DUXU	Adipose_Subcutaneous	female	train
GTEX-13113-1826-SM-5LZW4	Adipose_Subcutaneous	female	train
GTEX-1313W-0226-SM-5LZV7	Adipose_Subcutaneous	female	train
GTEX-131XW-0526-SM-5PNXZ	Adipose_Subcutaneous	female	train
GTEX-131YS-0226-SM-5IJEH	Adipose_Subcutaneous	female	train
GTEX-132AR-0226-SM-5IJBE	Adipose_Subcutaneous	female	train
GTEX-133LE-1926-SM-5N9FV	Adipose_Subcutaneous	female	train
GTEX-1399U-2426-SM-5K7XB	Adipose_Subcutaneous	female	train
GTEX-139D8-0326-SM-5IJCJ	Adipose_Subcutaneous	female	train
GTEX-139T4-0126-SM-5HL5G	Adipose_Subcutaneous	female	train
GTEX-13CF3-2326-SM-5IFGL	Adipose_Subcutaneous	female	train
GTEX-13D11-2326-SM-5IJCY	Adipose_Subcutaneous	female	train
GTEX-13FH7-2226-SM-5IJD4	Adipose_Subcutaneous	female	train
GTEX-13FTY-0626-SM-5L3F8	Adipose_Subcutaneous	female	train
GTEX-13JUV-2826-SM-5LZWU	Adipose_Subcutaneous	female	train
GTEX-13N11-2626-SM-5K7UQ	Adipose_Subcutaneous	female	train
GTEX-13NZ8-0926-SM-5MR3U	Adipose_Subcutaneous	female	train
GTEX-13OVI-1326-SM-5IJBO	Adipose_Subcutaneous	female	train
GTEX-13OVJ-0326-SM-5L3GL	Adipose_Subcutaneous	female	train
GTEX-13PLJ-0126-SM-5L3HU	Adipose_Subcutaneous	female	train
GTEX-13PVR-2426-SM-5RQHN	Adipose_Subcutaneous	female	train
GTEX-13QBU-2526-SM-5LU4X	Adipose_Subcutaneous	female	train
GTEX-13S7M-0226-SM-5S2UG	Adipose_Subcutaneous	female	train
GTEX-13SLX-0426-SM-5QGRC	Adipose_Subcutaneous	female	train
GTEX-13U4I-0226-SM-5SIB1	Adipose_Subcutaneous	female	train
GTEX-13VXT-0226-SM-5LU9Q	Adipose_Subcutaneous	female	train
GTEX-13W3W-2526-SM-5SI9P	Adipose_Subcutaneous	female	train
GTEX-13X6K-0226-SM-5QGPB	Adipose_Subcutaneous	female	train
GTEX-145LS-0226-SM-5O9A5	Adipose_Subcutaneous	female	train
GTEX-145ME-1926-SM-5MR6T	Adipose_Subcutaneous	female	train
